name,latitude,longitude,address,phone,website
Alabaster,33.2242254,-86.80417369999999,"250 S Colonial Dr, Alabaster, AL 35007-4657",205-564-2608,https://www.target.com/sl/alabaster/2276
Bessemer,33.3345501,-86.98977789999999,"4889 Promenade Pkwy, Bessemer, AL 35022-7305",205-565-3760,https://www.target.com/sl/bessemer/2375
Daphne,30.6028747,-87.89593169999999,"1698 US Highway 98, Daphne, AL 36526-4252",251-621-3540,https://www.target.com/sl/daphne/1274
Decatur,34.5601477,-86.9715595,"1235 Point Mallard Pkwy SE, Decatur, AL 35601-6531",256-898-3036,https://www.target.com/sl/decatur/2084
Dothan,31.2660613,-85.4464222,"4601 Montgomery Hwy, Dothan, AL 36303-1522",334-340-1112,https://www.target.com/sl/dothan/1468
Florence,34.8420853,-87.6339077,"372 Cox Creek Pkwy, Florence, AL 35630-1540",256-764-6924,https://www.target.com/sl/florence/1322
Fultondale,33.6060399,-86.80555729999999,"3489 Lowery Pkwy, Fultondale, AL 35068-1677",205-453-6032,https://www.target.com/sl/fultondale/2355
Gulf Shores,30.3039796,-87.6799946,"3820 Gulf Shores Pkwy, Gulf Shores, AL 36542-2819",251-967-7001,https://www.target.com/sl/gulf-shores/2154
Homewood,33.467142,-86.77509979999999,"531 Brookwood Village, Homewood, AL 35209-4501",205-994-7531,https://www.target.com/sl/homewood/2796
Madison,34.7488201,-86.7562505,"8207 HIGHWAY 72 W, Madison, AL 35758-9571",256-690-5890,https://www.target.com/sl/madison/2816
Montgomery,32.3606937,-86.1600739,"2576 Berryhill Rd, Montgomery, AL 36117-3564",334-356-6265,https://www.target.com/sl/montgomery/1825
Opelika,32.6204324,-85.4050434,"2640 Enterprise Dr, Opelika, AL 36801-1511",334-705-0152,https://www.target.com/sl/opelika/1499
Oxford,33.6092005,-85.7846536,"400 Oxford Exchange Blvd, Oxford, AL 36203-3459",256-231-2900,https://www.target.com/sl/oxford/2153
Prattville,32.4570652,-86.3957891,"2754 Legends Pkwy, Prattville, AL 36066-7748",334-290-6000,https://www.target.com/sl/prattville/2274
Tuscaloosa,33.1923759,-87.51825509999999,"1901 13th Ave E, Tuscaloosa, AL 35404-4785",205-462-1064,https://www.target.com/sl/tuscaloosa/1787
Birmingham 280 Corridor,33.425259,-86.7125552,"4616 Highway 280, Birmingham, AL 35242-5028",205-408-7687,https://www.target.com/sl/birmingham/1772
Trussville,33.6054494,-86.6376483,"1654 Gadsden Hwy, Birmingham, AL 35235-3104",205-655-6950,https://www.target.com/sl/birmingham/1773
Hoover West,33.3616601,-86.8532462,"5561 Grove Blvd, Birmingham, AL 35226-4600",205-747-1654,https://www.target.com/sl/birmingham/2503
Huntsville West,34.7446779,-86.68163709999999,"6275 University Dr NW, Huntsville, AL 35806-1776",256-922-0189,https://www.target.com/sl/huntsville/1346
Huntsville South,34.674648,-86.5443483,"2750 Carl T Jones Dr SE, Huntsville, AL 35802-4914",256-650-3491,https://www.target.com/sl/huntsville/1367
Bel Air,30.6709831,-88.1204442,"3150 Bel Air Mall, Mobile, AL 36606-3203",251-471-9760,https://www.target.com/sl/mobile/797
Mobile West,30.6734013,-88.2260919,"790 Schillinger Rd S, Mobile, AL 36695-8979",251-607-0265,https://www.target.com/sl/mobile/1376
Wasilla,61.5779193,-149.4029599,"1801 E Parks Hwy, Wasilla, AK 99654-7350",907-631-7200,https://www.target.com/sl/wasilla/2339
Anchorage NE,61.2299524,-149.745967,"1200 N Muldoon Rd, Anchorage, AK 99504-6103",907-269-2100,https://www.target.com/sl/anchorage/2371
Anchorage South,61.13006249999999,-149.8814512,"150 W 100th Ave, Anchorage, AK 99515-2673",907-267-7500,https://www.target.com/sl/anchorage/2372
Bullhead City,35.0528237,-114.5918998,"3699 Hwy 95, Bullhead City, AZ 86442-9119",928-704-5064,https://www.target.com/sl/bullhead-city/2368
Flagstaff,35.1840575,-111.6591788,"1650 S Milton Rd, Flagstaff, AZ 86001-0802",928-774-3500,https://www.target.com/sl/flagstaff/935
Fountain Hills,33.5733931,-111.7184273,"16825 E Shea Blvd, Fountain Hills, AZ 85268-6668",480-837-8557,https://www.target.com/sl/fountain-hills/1432
Oro Valley,32.3990239,-110.9601638,"10555 N Oracle Rd, Oro Valley, AZ 85737-9353",520-219-9862,https://www.target.com/sl/oro-valley/700
Prescott,34.549193,-112.4315678,"1851 E Highway 69, Prescott, AZ 86301-5665",928-771-8400,https://www.target.com/sl/prescott/884
Queen Creek,33.2552871,-111.6407335,"21398 S Ellsworth Loop Rd, Queen Creek, AZ 85142-5379",480-214-4810,https://www.target.com/sl/queen-creek/2365
Sierra Vista,31.5561559,-110.2558558,"4151 E Highway 90, Sierra Vista, AZ 85635-2425",520-452-0035,https://www.target.com/sl/sierra-vista/735
Surprise,33.6368072,-112.3537192,"13731 W Bell Rd, Surprise, AZ 85374-3871",623-975-4122,https://www.target.com/sl/surprise/1335
Phoenix SW,33.4236583,-112.269511,"9830 W Lower Buckeye Rd, Tolleson, AZ 85353-9424",623-687-2136,https://www.target.com/sl/phoenix-sw/2149
Yuma,32.7050523,-114.6061139,"1450 S Yuma Palms Pkwy, Yuma, AZ 85365-1707",928-343-7470,https://www.target.com/sl/yuma/2083
Chandler Fashion Center,33.29558859999999,-111.8995238,"3425 W Frye Rd, Chandler, AZ 85226-5008",480-281-0007,https://www.target.com/sl/chandler/1838
Chandler South,33.2503002,-111.8376548,"3777 S ARIZONA AVE, Chandler, AZ 85248-2700",480-612-6101,https://www.target.com/sl/chandler/2747
Gilbert Val Vista,33.3342412,-111.7582987,"1515 E Warner Rd, Gilbert, AZ 85296-3138",480-892-2282,https://www.target.com/sl/gilbert/1209
Gilbert SW,33.2786159,-111.785687,"3931 S Gilbert Rd, Gilbert, AZ 85297-7004",480-281-0201,https://www.target.com/sl/gilbert/1960
Peoria SW,33.5524031,-112.2568904,"9350 W Northern Ave, Glendale, AZ 85305-1103",623-877-8440,https://www.target.com/sl/glendale/1361
Glendale,33.5802437,-112.1532676,"10404 N 43rd Ave, Glendale, AZ 85302-2019",623-931-4434,https://www.target.com/sl/glendale/2341
Goodyear,33.46325460000001,-112.3550121,"1515 N Litchfield Rd, Goodyear, AZ 85395-1237",623-935-3510,https://www.target.com/sl/goodyear/1242
Goodyear West,33.4373884,-112.4213234,"995 S Cotton Ln, Goodyear, AZ 85338-4604",480-627-3275,https://www.target.com/sl/goodyear/2400
Mesa Central,33.3943485,-111.7855007,"1135 S Gilbert Rd, Mesa, AZ 85204-5205",480-926-3443,https://www.target.com/sl/mesa/251
Mesa East,33.3884182,-111.6830273,"1525 S Power Rd, Mesa, AZ 85206-3707",480-396-0403,https://www.target.com/sl/mesa/639
Mesa Red Mountain,33.4545859,-111.6826546,"2151 N Power Rd, Mesa, AZ 85215-2971",480-830-2035,https://www.target.com/sl/mesa/1386
Mesa West,33.3916851,-111.8652426,"1230 S Longmore Ave, Mesa, AZ 85202-9602",480-281-0105,https://www.target.com/sl/mesa/1429
Gilbert Gateway,33.3230012,-111.6903953,"5110 S Power Rd, Mesa, AZ 85212-4201",480-281-0268,https://www.target.com/sl/mesa/1959
Peoria North,33.6356253,-112.228156,"8055 W Bell Rd, Peoria, AZ 85382-3806",623-979-0250,https://www.target.com/sl/peoria/825
Peoria Lake Pleasant Pkwy,33.7101161,-112.2758045,"24890 N Lake Pleasant Pkwy, Peoria, AZ 85383-1348",623-376-7300,https://www.target.com/sl/peoria/2227
Paradise Valley,33.6004996,-111.9896967,"12602 N Paradise Village Pkwy W, Phoenix, AZ 85032-7671",602-953-2151,https://www.target.com/sl/phoenix/233
Westridge,33.47579810000001,-112.2179103,"7409 W Virginia Ave, Phoenix, AZ 85035-1336",623-245-1800,https://www.target.com/sl/phoenix/851
